LECROYWaveRunnerž,40477,Waveform
Segments,1,SegmentSize,1000
Segment,TrigTime,TimeSinceSegment1
#1,07-Jun-2021 10:52:12,0                 
Time,Ampl
-0.00237,0.0048912399
-0.00236,0.0047239081
-0.00235,0.0048912399
-0.00234,0.004530833
-0.00233,0.0046595498
-0.00232,0.0043892445
-0.00231,0.0046338064
-0.0023,0.004530833
-0.00229,0.0044664746
-0.00228,0.0045050896
-0.00227,0.0044407313
-0.00226,0.0043248862
-0.00225,0.0042347844
-0.00224,0.0042733995
-0.00223,0.004170426
-0.00222,0.0042090411
-0.00221,0.0039773509
-0.0022,0.0038615058
-0.00219,0.004131811
-0.00218,0.0039902226
-0.00217,0.003732789
-0.00216,0.0036426873
-0.00215,0.0036298156
-0.00214,0.0033852538
-0.00213,0.0035783289
-0.00212,0.0034109971
-0.00211,0.0036298156
-0.0021,0.0034367405
-0.00209,0.0033981255
-0.00208,0.0033080237
-0.00207,0.0032694087
-0.00206,0.0032050503
-0.00205,0.0033337671
-0.00204,0.0031535636
-0.00203,0.0029862318
-0.00202,0.003179307
-0.00201,0.0031278202
-0.002,0.0029733601
-0.00199,0.002857515
-0.00198,0.0027545416
-0.00197,0.0027545416
-0.00196,0.0027674133
-0.00195,0.0027030549
-0.00194,0.0026000815
-0.00193,0.0028189
-0.00192,0.0027545416
-0.00191,0.0026773116
-0.0019,0.0027159266
-0.00189,0.0026129532
-0.00188,0.0024713647
-0.00187,0.0023297763
-0.00186,0.0024456214
-0.00185,0.0023297763
-0.00184,0.0023169046
-0.00183,0.0025872098
-0.00182,0.0023555197
-0.00181,0.002304033
-0.0018,0.0021624445
-0.00179,0.002304033
-0.00178,0.0022396746
-0.00177,0.0020594711
-0.00176,0.0021624445
-0.00175,0.0021881879
-0.00174,0.0021495728
-0.00173,0.0020594711
-0.00172,0.0020337277
-0.00171,0.0019693694
-0.0017,0.001866396
-0.00169,0.0019564977
-0.00168,0.0018921393
-0.00167,0.001943626
-0.00166,0.001905011
-0.00165,0.0016990642
-0.00164,0.0018277809
-0.00163,0.0018535243
-0.00162,0.0017248075
-0.00161,0.0017119358
-0.0016,0.0017762942
-0.00159,0.0017634225
-0.00158,0.0016733208
-0.00157,0.0016604491
-0.00156,0.0016089624
-0.00155,0.001544604
-0.00154,0.0015703474
-0.00153,0.0014802457
-0.00152,0.0014931173
-0.00151,0.001505989
-0.0015,0.0014802457
-0.00149,0.0014287589
-0.00148,0.0014802457
-0.00147,0.0015574757
-0.00146,0.0014158873
-0.00145,0.0013901439
-0.00144,0.0012228121
-0.00143,0.0013257855
-0.00142,0.0013000422
-0.00141,0.0013000422
-0.0014,0.0012614272
-0.00139,0.0011584537
-0.00138,0.0012099404
-0.00137,0.0012356838
-0.00136,0.0011841971
-0.00135,0.0011970688
-0.00134,0.001106967
-0.00133,0.0010940954
-0.00132,0.0011198387
-0.00131,0.0011841971
-0.0013,0.0011584537
-0.00129,0.0010812237
-0.00128,0.00095250692
-0.00127,0.0011198387
-0.00126,0.0011841971
-0.00125,0.00099112195
-0.00124,0.00096537859
-0.00123,0.00093963524
-0.00122,0.00092676357
-0.00121,0.00093963524
-0.0012,0.00095250692
-0.00119,0.00091389189
-0.00118,0.00084953351
-0.00117,0.00083666183
-0.00116,0.00095250692
-0.00115,0.00078517512
-0.00114,0.00082379015
-0.00113,0.00087527686
-0.00112,0.00068220171
-0.00111,0.00075943177
-0.0011,0.00073368842
-0.00109,0.00069507339
-0.00108,0.00083666183
-0.00107,0.00068220171
-0.00106,0.0007980468
-0.00105,0.00078517512
-0.00104,0.00077230345
-0.00103,0.00066933003
-0.00102,0.00074656009
-0.00101,0.00074656009
-0.001,0.00069507339
-0.00099,0.00068220171
-0.00098,0.00068220171
-0.00097,0.00069507339
-0.00096,0.00077230345
-0.00095,0.00075943177
-0.00094,0.00065645836
-0.00093,0.00064358668
-0.00092,0.00070794506
-0.00091,0.00052774159
-0.0009,0.00054061327
-0.00089,0.00063071501
-0.00088,0.00055348495
-0.00087,0.00054061327
-0.00086,0.00048912656
-0.00085,0.00054061327
-0.00084,0.0004118965
-0.00083,0.00045051153
-0.00082,0.00059209998
-0.00081,0.00056635662
-0.0008,0.0004118965
-0.00079,0.00050199824
-0.00078,0.00054061327
-0.00077,0.00051486992
-0.00076,0.00051486992
-0.00075,0.00045051153
-0.00074,0.00045051153
-0.00073,0.00038615315
-0.00072,0.00046338321
-0.00071,0.0003604098
-0.0007,0.0003604098
-0.00069,0.00048912656
-0.00068,0.0004118965
-0.00067,0.00038615315
-0.00066,0.0004118965
-0.00065,0.000193078
-0.00064,0.00038615315
-0.00063,0.00038615315
-0.00062,0.00039902483
-0.00061,0.00032179477
-0.0006,0.0003604098
-0.00059,0.00034753812
-0.00058,0.0003604098
-0.00057,0.00032179477
-0.00056,0.00025743639
-0.00055,0.00030892309
-0.00054,0.00033466645
-0.00053,0.00021882136
-0.00052,0.00032179477
-0.00051,0.00032179477
-0.0005,0.00023169303
-0.00049,0.00028317974
-0.00048,0.00020594968
-0.00047,0.00018020633
-0.00046,0.00016733465
-0.00045,0.00021882136
-0.00044,0.000193078
-0.00043,0.00024456471
-0.00042,0.00021882136
-0.00041,0.00016733465
-0.0004,0.00025743639
-0.00039,0.00032179477
-0.00038,0.00020594968
-0.00037,0.00023169303
-0.00036,0.00015446297
-0.00035,0.00012871962
-0.00034,0.00018020633
-0.00033,0.00020594968
-0.00032,9.0104591e-05
-0.00031,0.00021882136
-0.0003,0.00021882136
-0.00029,0.00015446297
-0.00028,7.7232915e-05
-0.00027,0.0001415913
-0.00026,0.00010297627
-0.00025,0.00012871962
-0.00024,5.1489562e-05
-0.00023,0.00011584794
-0.00022,6.4361238e-05
-0.00021,0.00023169303
-0.0002,5.1489562e-05
-0.00019,6.4361238e-05
-0.00018,0.00011584794
-0.00017,7.7232915e-05
-0.00016,2.8558134e-09
-0.00015,2.5746209e-05
-0.00014,0.00011584794
-0.00013,0.00010297627
-0.00012,5.1489562e-05
-0.00011,0.0001415913
-0.0001,5.1489562e-05
-9e-05,1.2874532e-05
-8e-05,6.4361238e-05
-7e-05,1.2874532e-05
-6e-05,5.1489562e-05
-5e-05,6.4361238e-05
-4e-05,0.00010297627
-3e-05,0.00011584794
-2e-05,-1.2868821e-05
-1e-05,6.4361238e-05
4.96361e-18,-7.7227203e-05
1e-05,2.5746209e-05
2e-05,6.4361238e-05
3e-05,2.5746209e-05
4e-05,0.00012871962
5e-05,0.0001415913
6e-05,0.00029605142
7e-05,0.00047625489
8e-05,0.00070794506
9e-05,0.00096537859
0.0001,0.00093963524
0.00011,0.0012742988
0.00012,0.0018149092
0.00013,0.0021367012
0.00014,0.0024842364
0.00015,0.0030377185
0.00016,0.0035268422
0.00017,0.0041832977
0.00018,0.0047882665
0.00019,0.0053803636
0.0002,0.005882359
0.00021,0.0067833764
0.00022,0.0072596284
0.00023,0.0086240261
0.00024,0.0092804816
0.00025,0.0098339637
0.00026,0.011211233
0.00027,0.012421171
0.00028,0.013090498
0.00029,0.014158847
0.0003,0.015214324
0.00031,0.016836156
0.00032,0.017672815
0.00033,0.019127314
0.00034,0.020144177
0.00035,0.021341243
0.00036,0.023246251
0.00037,0.024301728
0.00038,0.025666126
0.00039,0.027107754
0.0004,0.02845928
0.00041,0.030493005
0.00042,0.032230681
0.00043,0.03353072
0.00044,0.035577317
0.00045,0.036594179
0.00046,0.039091284
0.00047,0.040314094
0.00048,0.042540894
0.00049,0.043235964
0.0005,0.045527123
0.00051,0.047638078
0.00052,0.04911832
0.00053,0.051396607
0.00054,0.052658031
0.00055,0.055065035
0.00056,0.05678984
0.00057,0.059595865
0.00058,0.060895904
0.00059,0.062852399
0.0006,0.064229669
0.00061,0.065877243
0.00062,0.068194145
0.00063,0.070832839
0.00064,0.072724975
0.00065,0.074050758
0.00066,0.077191447
0.00067,0.079070712
0.00068,0.080653928
0.00069,0.08281637
0.0007,0.084322356
0.00071,0.087372943
0.00072,0.088956159
0.00073,0.091324548
0.00074,0.093062224
0.00075,0.095186051
0.00076,0.097361364
0.00077,0.099395089
0.00078,0.10141594
0.00079,0.10393879
0.0008,0.10595964
0.00081,0.10731117
0.00082,0.1097954
0.00083,0.11248558
0.00084,0.11441634
0.00085,0.11538171
0.00086,0.11910163
0.00087,0.12058187
0.00088,0.12204924
0.00089,0.12498398
0.0009,0.12661868
0.00091,0.1288841
0.00092,0.13109803
0.00093,0.13215351
0.00094,0.13486943
0.00095,0.13638829
0.00096,0.13839627
0.00097,0.14024979
0.00098,0.14268254
0.00099,0.14420139
0.001,0.14628661
0.00101,0.14681435
0.00102,0.1491055
0.00103,0.15066298
0.00104,0.15250363
0.00105,0.15273532
0.00106,0.15443438
0.00107,0.15623641
0.00108,0.1556958
0.00109,0.15808993
0.0011,0.15953156
0.00111,0.15940284
0.00112,0.16053555
0.00113,0.16106329
0.00114,0.16155241
0.00115,0.16307127
0.00116,0.16295543
0.00117,0.16358614
0.00118,0.1643327
0.00119,0.16564561
0.0012,0.16532382
0.00121,0.16628919
0.00122,0.1665595
0.00123,0.16689416
0.00124,0.16619909
0.00125,0.16698426
0.00126,0.16735754
0.00127,0.16719021
0.00128,0.16627632
0.00129,0.1666496
0.0013,0.16697139
0.00131,0.1676021
0.00132,0.167512
0.00133,0.16710011
0.00134,0.16712585
0.00135,0.1676021
0.00136,0.16746051
0.00137,0.16621196
0.00138,0.16677832
0.00139,0.1666496
0.0014,0.16590304
0.00141,0.1653753
0.00142,0.16577432
0.00143,0.16609612
0.00144,0.16492479
0.00145,0.16478321
0.00146,0.16395942
0.00147,0.16393367
0.00148,0.1624663
0.00149,0.16347029
0.0015,0.16285245
0.00151,0.16170687
0.00152,0.16174549
0.00153,0.16088309
0.00154,0.16096032
0.00155,0.15977612
0.00156,0.15926126
0.00157,0.15941572
0.00158,0.15913254
0.00159,0.15766517
0.0016,0.15693148
0.00161,0.15612057
0.00162,0.15457597
0.00163,0.15435715
0.00164,0.15453735
0.00165,0.15316008
0.00166,0.15195014
0.00167,0.15140953
0.00168,0.15213035
0.00169,0.15074021
0.0017,0.14983919
0.00171,0.1491055
0.00172,0.14799854
0.00173,0.14807577
0.00174,0.14682722
0.00175,0.14570738
0.00176,0.14564302
0.00177,0.14470339
0.00178,0.14306869
0.00179,0.14202608
0.0018,0.14157557
0.00181,0.14179439
0.00182,0.13943887
0.00183,0.13889826
0.00184,0.13833191
0.00185,0.13790715
0.00186,0.13636254
0.00187,0.13562886
0.00188,0.13498527
0.00189,0.13340206
0.0019,0.13297729
0.00191,0.13108516
0.00192,0.13072475
0.00193,0.13048019
0.00194,0.13041583
0.00195,0.12898707
0.00196,0.12706919
0.00197,0.12548598
0.00198,0.12633551
0.00199,0.12521567
0.002,0.12404435
0.00201,0.12329779
0.00202,0.12248688
0.00203,0.1208393
0.00204,0.12044028
0.00205,0.11969372
0.00206,0.11771148
0.00207,0.11661739
0.00208,0.11612827
0.00209,0.11431336
0.0021,0.11463515
0.00211,0.11374701
0.00212,0.11302619
0.00213,0.11188062
0.00214,0.11135288
0.00215,0.10944787
0.00216,0.10877854
0.00217,0.10821219
0.00218,0.10728543
0.00219,0.10521309
0.0022,0.10482694
0.00221,0.10451802
0.00222,0.10324372
0.00223,0.1023427
0.00224,0.10177635
0.00225,0.099459447
0.00226,0.099678266
0.00227,0.09832674
0.00228,0.097039572
0.00229,0.09633163
0.0023,0.095958351
0.00231,0.09449098
0.00232,0.093512733
0.00233,0.093049352
0.00234,0.092779047
0.00235,0.091350291
0.00236,0.090835424
0.00237,0.090629477
0.00238,0.088505651
0.00239,0.088132372
0.0024,0.08757889
0.00241,0.086407567
0.00242,0.084978811
0.00243,0.084837223
0.00244,0.084103537
0.00245,0.082932215
0.00246,0.082507449
0.00247,0.081091565
0.00248,0.080113318
0.00249,0.079456862
0.0025,0.078877637
0.00251,0.077654827
0.00252,0.077075602
0.00253,0.07721719
0.00254,0.075659717
0.00255,0.074127988
0.00256,0.074810187
0.00257,0.072699232
0.00258,0.073059639
0.00259,0.071309091
0.0026,0.070961555
0.00261,0.070060538
0.00262,0.069198136
0.00263,0.068709012
0.00264,0.068065428
0.00265,0.066507955
0.00266,0.065877243
0.00267,0.065169301
0.00268,0.065053456
0.00269,0.064821766
0.0027,0.064448487
0.00271,0.063508855
0.00272,0.061436515
0.00273,0.06186128
0.00274,0.060213706
0.00275,0.060252321
0.00276,0.059595865
0.00277,0.058887923
0.00278,0.057690857
0.00279,0.057073017
0.0028,0.056802711
0.00281,0.056352203
0.00282,0.056326459
0.00283,0.054884832
0.00284,0.053855097
0.00285,0.053919456
0.00286,0.052825363
0.00287,0.052130293
0.00288,0.051731271
0.00289,0.051177789
0.0029,0.05072728
0.00291,0.049839134
0.00292,0.049749033
0.00293,0.048384635
0.00294,0.047805409
0.00295,0.047226184
0.00296,0.047110339
0.00297,0.046749932
0.00298,0.045874658
0.00299,0.045604353
0.003,0.04474195
0.00301,0.044059752
0.00302,0.043570628
0.00303,0.043132991
0.00304,0.042231974
0.00305,0.041845823
0.00306,0.041549775
0.00307,0.041279469
0.00308,0.040996293
0.00309,0.04021112
0.0031,0.039541793
0.00311,0.039065541
0.00312,0.039117028
0.00313,0.037392223
0.00314,0.037186276
0.00315,0.036800126
0.00316,0.037018945
0.00317,0.036169414
0.00318,0.035242653
0.00319,0.035319883
0.0032,0.034998091
0.00321,0.034071331
0.00322,0.034251534
0.00323,0.033994101
0.00324,0.032938623
0.00325,0.032333654
0.00326,0.031445509
0.00327,0.031574225
0.00328,0.031715814
0.00329,0.030737566
0.0033,0.030853411
0.00331,0.030222699
0.00332,0.029643474
0.00333,0.029553372
0.00334,0.02892266
0.00335,0.028909788
0.00336,0.028369178
0.00337,0.028433536
0.00338,0.027339444
0.00339,0.027056267
0.0034,0.026901807
0.00341,0.026180993
0.00342,0.026837448
0.00343,0.025807714
0.00344,0.026026533
0.00345,0.025202745
0.00346,0.02485521
0.00347,0.024803724
0.00348,0.024263113
0.00349,0.024301728
0.0035,0.023606658
0.00351,0.02301456
0.00352,0.023246251
0.00353,0.022769999
0.00354,0.022358105
0.00355,0.021766008
0.00356,0.021572933
0.00357,0.021341243
0.00358,0.020736274
0.00359,0.020916477
0.0036,0.021058066
0.00361,0.020427353
0.00362,0.020350123
0.00363,0.019294646
0.00364,0.019423363
0.00365,0.019384748
0.00366,0.019281774
0.00367,0.018573832
